#9
ratio=1.500
shuffled=False
NbTrials=1
ReZero=True
ReversedChannels=False

0.0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9

0.0;0.0;0,70.0,70.9523809524,0;2,67.1428571429,65.9523809524,0;4,71.1904761905,70.0,0;6,66.9047619048,65.9523809524,0;8,76.1904761905,68.5714285714,0
0.0;0.5;1,85.9523809524,8.80952380952,2;3,93.0952380952,9.7619047619,2;5,83.5714285714,11.1904761905,2;7,92.380952381,8.57142857143,2;9,90.9523809524,5.95238095238,2
