
#0 , MSN=OK , FSI=+9.98 , STN=OK , GPe=+8.09 , GPi=+32.21 , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=--13.28 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=+4.90 , GPi_NMDA+AMPA=--8.19 , GPi_NMDA=+18.97 , GPi_GABAA=OK , 
#1 , MSN=OK , FSI=OK , STN=OK , GPe=+25.48 , GPi=+20.64 , GPe_AMPA=+4.70 , GPe_AMPA+GABAA=OK , GPe_NMDA=+14.89 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=--16.27 , GPi_NMDA+AMPA=-0.33 , GPi_NMDA=+8.54 , GPi_GABAA=OK , 
#2 , MSN=OK , FSI=OK , STN=OK , GPe=+12.29 , GPi=+35.16 , GPe_AMPA=--9.90 , GPe_AMPA+GABAA=OK , GPe_NMDA=+0.16 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=+7.66 , GPi_NMDA+AMPA=--9.40 , GPi_NMDA=+21.60 , GPi_GABAA=OK , 
#3 , MSN=OK , FSI=+1.32 , STN=OK , GPe=+0.74 , GPi=+17.41 , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=--6.49 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=+2.00 , GPi_GABAA=OK , 
#4 , MSN=OK , FSI=OK , STN=OK , GPe=+9.52 , GPi=+22.30 , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=--13.95 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=--7.14 , GPi_NMDA+AMPA=OK , GPi_NMDA=+5.24 , GPi_GABAA=OK , 
#5 , MSN=OK , FSI=+18.09 , STN=-0.42 , GPe=+14.47 , GPi=+18.01 , GPe_AMPA=--10.63 , GPe_AMPA+GABAA=OK , GPe_NMDA=+0.25 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=--10.54 , GPi_NMDA+AMPA=-6.30 , GPi_NMDA=+3.49 , GPi_GABAA=OK , 
#6 , MSN=OK , FSI=+3.40 , STN=-0.03 , GPe=+9.96 , GPi=+6.61 , GPe_AMPA=--7.29 , GPe_AMPA+GABAA=OK , GPe_NMDA=--15.09 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=OK , GPi_GABAA=OK , 
#7 , MSN=OK , FSI=+7.71 , STN=-0.15 , GPe=+7.52 , GPi=+15.59 , GPe_AMPA=--5.70 , GPe_AMPA+GABAA=OK , GPe_NMDA=--12.76 , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=+0.79 , GPi_GABAA=OK , 
#8 , MSN=OK , FSI=OK , STN=OK , GPe=OK , GPi=OK , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=OK , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=OK , GPi_GABAA=OK , 
#9 , MSN=OK , FSI=OK , STN=OK , GPe=OK , GPi=OK , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=OK , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=OK , GPi_GABAA=OK , 
#10 , MSN=OK , FSI=OK , STN=OK , GPe=OK , GPi=+11.49 , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=OK , GPe_GABAA=OK , GPi_All=OK , GPi_AMPA=OK , GPi_NMDA+AMPA=OK , GPi_NMDA=OK , GPi_GABAA=OK , 
#11 , MSN=OK , FSI=OK , STN=OK , GPe=+0.90 , GPi=OK , GPe_AMPA=OK , GPe_AMPA+GABAA=OK , GPe_NMDA=OK , GPe_GABAA=-55.69 , GPi_All=-59.09 , GPi_AMPA=-59.09 , 
